#separator:|
#html:true
identique ≠ différent|<b>Meaning</b>: identical ≠ different<br><b>Phrase: </b><i>Ces deux choses sont identiques. / Ces deux choses sont différentes.</i>|dossier-0 caractériser dossier-0-leçon-1
souligner (un mot)|<b>Meaning</b>: to underline (a word)<br><b>Phrase: </b><i>Soulignez le mot important.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
travailler (en groupe, par deux)|<b>Meaning</b>: to work (in a group, in pairs)<br><b>Phrase: </b><i>Travaillez en groupe. / Travaillez par deux.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
l'Afrique (f.)|<b>Meaning</b>: Africa<br><b>Phrase: </b><i>L'Afrique est un continent.</i>|dossier-0 les-continents dossier-0-leçon-1
l'Amérique (f.)|<b>Meaning</b>: America<br><b>Phrase: </b><i>L'Amérique est composée de plusieurs pays.</i>|dossier-0 les-continents dossier-0-leçon-1
l'Asie (f.)|<b>Meaning</b>: Asia<br><b>Phrase: </b><i>L'Asie est le plus grand continent.</i>|dossier-0 les-continents dossier-0-leçon-1
l'Europe (f.)|<b>Meaning</b>: Europe<br><b>Phrase: </b><i>L'Europe est un continent historique.</i>|dossier-0 les-continents dossier-0-leçon-1
l'Océanie (f.)|<b>Meaning</b>: Oceania<br><b>Phrase: </b><i>L'Océanie est une région du monde.</i>|dossier-0 les-continents dossier-0-leçon-1
la langue maternelle|<b>Meaning</b>: the native language<br><b>Phrase: </b><i>Sa langue maternelle est l'anglais.</i>|dossier-0 les-informations-personnelles dossier-0-leçon-1
la langue parlée|<b>Meaning</b>: the spoken language<br><b>Phrase: </b><i>La langue parlée ici est le français.</i>|dossier-0 les-informations-personnelles dossier-0-leçon-1
un nom de famille|<b>Meaning</b>: a last name<br><b>Phrase: </b><i>Son nom de famille est Dupont.</i>|dossier-0 les-informations-personnelles dossier-0-leçon-1
un prénom|<b>Meaning</b>: a first name<br><b>Phrase: </b><i>Mon prénom est Marie.</i>|dossier-0 les-informations-personnelles dossier-0-leçon-1
une nationalité|<b>Meaning</b>: a nationality<br><b>Phrase: </b><i>Quelle est votre nationalité?</i>|dossier-0 les-informations-personnelles dossier-0-leçon-1
l'Allemagne (f.) : allemand(e)|<b>Meaning</b>: Germany: German<br><b>Phrase: </b><i>J'habite en Allemagne. / Je suis allemand. / Je suis allemande.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
l'Autriche (f.) : autrichien(ne)|<b>Meaning</b>: Austria: Austrian<br><b>Phrase: </b><i>Elle vient d'Autriche. / Il est autrichien. / Elle est autrichienne.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
l'Espagne (f.) : espagnol(e)|<b>Meaning</b>: Spain: Spanish<br><b>Phrase: </b><i>L'Espagne est belle. / Il est espagnol. / Elle est espagnole.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
l'Iran (m.) : iranien(ne)|<b>Meaning</b>: Iran: Iranian<br><b>Phrase: </b><i>L'Iran a une culture riche. / Il est iranien. / Elle est iranienne.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
l'Italie (f.) : italien(ne)|<b>Meaning</b>: Italy: Italian<br><b>Phrase: </b><i>L'Italie est célèbre pour sa cuisine. / Il est italien. / Elle est italienne.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
la Chine : chinois(e)|<b>Meaning</b>: China: Chinese<br><b>Phrase: </b><i>La Chine est un grand pays. / Il est chinois. / Elle est chinoise.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
la Corée : coréen(ne)|<b>Meaning</b>: Korea: Korean<br><b>Phrase: </b><i>J'aime la Corée. / Il est coréen. / Elle est coréenne.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
la France : français(e)|<b>Meaning</b>: France: French<br><b>Phrase: </b><i>J'adore la France. / Il est français. / Elle est française.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
la Grèce : grec(que)|<b>Meaning</b>: Greece: Greek<br><b>Phrase: </b><i>La Grèce est historique. / Il est grec. / Elle est grecque.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
la Pologne : polonais(e)|<b>Meaning</b>: Poland: Polish<br><b>Phrase: </b><i>La Pologne a une histoire riche. / Il est polonais. / Elle est polonaise.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
la Russie : russe|<b>Meaning</b>: Russia: Russian<br><b>Phrase: </b><i>La Russie est un grand pays. / Il est russe. / Elle est russe.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
la Suède : suédois(e)|<b>Meaning</b>: Sweden: Swedish<br><b>Phrase: </b><i>La Suède est un pays scandinave. / Il est suédois. / Elle est suédoise.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
la Suisse : suisse|<b>Meaning</b>: Switzerland: Swiss<br><b>Phrase: </b><i>La Suisse est connue pour ses montagnes. / Il est suisse. / Elle est suisse.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
la Thaïlande : thaïlandais(e)|<b>Meaning</b>: Thailand: Thai<br><b>Phrase: </b><i>La Thaïlande est populaire. / Il est thaïlandais. / Elle est thaïlandaise.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
la Tunisie : tunisien(ne)|<b>Meaning</b>: Tunisia: Tunisian<br><b>Phrase: </b><i>La Tunisie est en Afrique. / Il est tunisien. / Elle est tunisienne.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
la Turquie : turc, turque|<b>Meaning</b>: Turkey: Turkish<br><b>Phrase: </b><i>La Turquie est entre l'Europe et l'Asie. / Il est turc. / Elle est turque.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
le Cambodge : cambodgien(ne)|<b>Meaning</b>: Cambodia: Cambodian<br><b>Phrase: </b><i>C'est au Cambodge. / Il est cambodgien. / Elle est cambodgienne.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
le Canada : canadien(ne)|<b>Meaning</b>: Canada: Canadian<br><b>Phrase: </b><i>Nous visitons le Canada. / Il est canadien. / Elle est canadienne.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
le Danemark : danois(e)|<b>Meaning</b>: Denmark: Danish<br><b>Phrase: </b><i>C'est le Danemark. / Il est danois. / Elle est danoise.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
le Japon : japonais(e)|<b>Meaning</b>: Japan: Japanese<br><b>Phrase: </b><i>Le Japon est fascinant. / Il est japonais. / Elle est japonaise.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
le Maroc : marocain(e)|<b>Meaning</b>: Morocco: Moroccan<br><b>Phrase: </b><i>Le Maroc est exotique. / Il est marocain. / Elle est marocaine.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
le Mexique : mexicain(e)|<b>Meaning</b>: Mexico: Mexican<br><b>Phrase: </b><i>J'aime le Mexique. / Il est mexicain. / Elle est mexicaine.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
le Portugal : portugais(e)|<b>Meaning</b>: Portugal: Portuguese<br><b>Phrase: </b><i>Le Portugal est en Europe. / Il est portugais. / Elle est portugaise.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
le Vietnam : vietnamien(ne)|<b>Meaning</b>: Vietnam: Vietnamese<br><b>Phrase: </b><i>Le Vietnam a une histoire riche. / Il est vietnamien. / Elle est vietnamienne.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
le Zimbabwe : zimbabwéen(ne)|<b>Meaning</b>: Zimbabwe: Zimbabwean<br><b>Phrase: </b><i>Le Zimbabwe est en Afrique. / Il est zimbabwéen. / Elle est zimbabwéenne.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
les États-Unis : américain(e)|<b>Meaning</b>: the United States: American<br><b>Phrase: </b><i>Je vais aux États-Unis. / Il est américain. / Elle est américaine.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
les Pays-Bas (m.) : néerlandais(e)|<b>Meaning</b>: the Netherlands: Dutch<br><b>Phrase: </b><i>Je vais aux Pays-Bas. / Il est néerlandais. / Elle est néerlandaise.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
les Philippines (f.) : philippin(e)|<b>Meaning</b>: the Philippines: Filipino<br><b>Phrase: </b><i>Les Philippines sont magnifiques. / Il est philippin. / Elle est philippine.</i>|dossier-0 les-pays-et-nationalités dossier-0-leçon-1
un groupe|<b>Meaning</b>: a group<br><b>Phrase: </b><i>C'est un groupe d'amis.</i>|dossier-0 les-personnes dossier-0-leçon-1
un homme|<b>Meaning</b>: a man<br><b>Phrase: </b><i>Il est un homme grand.</i>|dossier-0 les-personnes dossier-0-leçon-1
un professeur|<b>Meaning</b>: a teacher<br><b>Phrase: </b><i>Elle est professeur de français.</i>|dossier-0 les-personnes dossier-0-leçon-1
un(e) étudiant(e)|<b>Meaning</b>: a student<br><b>Phrase: </b><i>Je suis étudiant en biologie. / Elle est étudiante en histoire.</i>|dossier-0 les-personnes dossier-0-leçon-1
une femme|<b>Meaning</b>: a woman<br><b>Phrase: </b><i>C'est une femme gentille.</i>|dossier-0 les-personnes dossier-0-leçon-1
une personne|<b>Meaning</b>: a person<br><b>Phrase: </b><i>C'est une personne intéressante.</i>|dossier-0 les-personnes dossier-0-leçon-1
être|<b>Meaning</b>: to be<br><b>Phrase: </b><i>Je suis fatigué.</i>|dossier-0 se-présenter dossier-0-leçon-1
faire connaissance|<b>Meaning</b>: to get acquainted/to meet<br><b>Phrase: </b><i>Nous faisons connaissance.</i>|dossier-0 se-présenter dossier-0-leçon-1
s'appeler|<b>Meaning</b>: to be called<br><b>Phrase: </b><i>Je m'appelle Pierre.</i>|dossier-0 se-présenter dossier-0-leçon-1
contacter|<b>Meaning</b>: to contact<br><b>Phrase: </b><i>Je vais le contacter.</i>|dossier-1 communiquer dossier-1-leçon-1
faire la bise|<b>Meaning</b>: to kiss on the cheeks<br><b>Phrase: </b><i>On fait la bise en France.</i>|dossier-1 communiquer dossier-1-leçon-1
faire un signe de la main|<b>Meaning</b>: to wave<br><b>Phrase: </b><i>Je lui ai fait un signe de la main.</i>|dossier-1 communiquer dossier-1-leçon-1
saluer ≠ prendre congé|<b>Meaning</b>: to greet ≠ to say goodbye<br><b>Phrase: </b><i>Je salue mes amis. / Je prends congé de mes amis.</i>|dossier-1 communiquer dossier-1-leçon-1
serrer la main|<b>Meaning</b>: to shake hands<br><b>Phrase: </b><i>On se serre la main.</i>|dossier-1 communiquer dossier-1-leçon-1
donner/confirmer un mot de passe|<b>Meaning</b>: to give/confirm a password<br><b>Phrase: </b><i>Donnez votre mot de passe. / Confirmez votre mot de passe.</i>|dossier-1 internet dossier-1-leçon-1
un contact|<b>Meaning</b>: a contact<br><b>Phrase: </b><i>C'est un contact important.</i>|dossier-1 internet dossier-1-leçon-1
un profil (d'utilisateur)|<b>Meaning</b>: a (user) profile<br><b>Phrase: </b><i>J'ai un profil sur ce réseau social.</i>|dossier-1 internet dossier-1-leçon-1
un réseau social|<b>Meaning</b>: a social network<br><b>Phrase: </b><i>J'utilise ce réseau social.</i>|dossier-1 internet dossier-1-leçon-1
un site Internet|<b>Meaning</b>: a website<br><b>Phrase: </b><i>C'est un site Internet utile.</i>|dossier-1 internet dossier-1-leçon-1
une adresse mail|<b>Meaning</b>: an email address<br><b>Phrase: </b><i>Quelle est votre adresse mail?</i>|dossier-1 internet dossier-1-leçon-1
une inscription|<b>Meaning</b>: a registration<br><b>Phrase: </b><i>J'ai fait mon inscription.</i>|dossier-1 internet dossier-1-leçon-1
dimanche|<b>Meaning</b>: Sunday<br><b>Phrase: </b><i>Dimanche, c'est le week-end.</i>|dossier-1 la-semaine dossier-1-leçon-1
jeudi|<b>Meaning</b>: Thursday<br><b>Phrase: </b><i>Jeudi, je vais au cinéma.</i>|dossier-1 la-semaine dossier-1-leçon-1
lundi|<b>Meaning</b>: Monday<br><b>Phrase: </b><i>Lundi est le premier jour de la semaine.</i>|dossier-1 la-semaine dossier-1-leçon-1
mardi|<b>Meaning</b>: Tuesday<br><b>Phrase: </b><i>Mardi, j'ai cours de français.</i>|dossier-1 la-semaine dossier-1-leçon-1
mercredi|<b>Meaning</b>: Wednesday<br><b>Phrase: </b><i>Mercredi, c'est le milieu de la semaine.</i>|dossier-1 la-semaine dossier-1-leçon-1
samedi|<b>Meaning</b>: Saturday<br><b>Phrase: </b><i>Samedi, je me repose.</i>|dossier-1 la-semaine dossier-1-leçon-1
vendredi|<b>Meaning</b>: Friday<br><b>Phrase: </b><i>Vendredi, c'est la fin de la semaine de travail.</i>|dossier-1 la-semaine dossier-1-leçon-1
apprendre/pratiquer une langue|<b>Meaning</b>: to learn/practice a language<br><b>Phrase: </b><i>J'apprends le français. / Je pratique mon anglais.</i>|dossier-1 les-études dossier-1-leçon-1
avoir cours|<b>Meaning</b>: to have class<br><b>Phrase: </b><i>J'ai cours à 10h00.</i>|dossier-1 les-études dossier-1-leçon-1
étudier|<b>Meaning</b>: to study<br><b>Phrase: </b><i>J'étudie pour l'examen.</i>|dossier-1 les-études dossier-1-leçon-1
l'architecture (f.)|<b>Meaning</b>: architecture<br><b>Phrase: </b><i>J'étudie l'architecture.</i>|dossier-1 les-études dossier-1-leçon-1
l'économie (f.)|<b>Meaning</b>: economics<br><b>Phrase: </b><i>Elle étudie l'économie.</i>|dossier-1 les-études dossier-1-leçon-1
la littérature|<b>Meaning</b>: literature<br><b>Phrase: </b><i>J'aime la littérature.</i>|dossier-1 les-études dossier-1-leçon-1
la médecine|<b>Meaning</b>: medicine<br><b>Phrase: </b><i>Il étudie la médecine.</i>|dossier-1 les-études dossier-1-leçon-1
le commerce international|<b>Meaning</b>: international business<br><b>Phrase: </b><i>Il travaille dans le commerce international.</i>|dossier-1 les-études dossier-1-leçon-1
les sciences politiques (f.)|<b>Meaning</b>: political science<br><b>Phrase: </b><i>Elle étudie les sciences politiques.</i>|dossier-1 les-études dossier-1-leçon-1
une école|<b>Meaning</b>: a school<br><b>Phrase: </b><i>Je vais à l'école.</i>|dossier-1 les-études dossier-1-leçon-1
une matière|<b>Meaning</b>: a subject/topic<br><b>Phrase: </b><i>Quelle matière étudies-tu?</i>|dossier-1 les-études dossier-1-leçon-1
une spécialité|<b>Meaning</b>: a major/specialty<br><b>Phrase: </b><i>Quelle est ta spécialité?</i>|dossier-1 les-études dossier-1-leçon-1
être bilingue|<b>Meaning</b>: to be bilingual<br><b>Phrase: </b><i>Je suis bilingue.</i>|dossier-1 les-informations-personnelles dossier-1-leçon-1
l'âge (m.)|<b>Meaning</b>: age<br><b>Phrase: </b><i>J'ai 20 ans.</i>|dossier-1 les-informations-personnelles dossier-1-leçon-1
un trombinoscope|<b>Meaning</b>: a photo directory<br><b>Phrase: </b><i>Voici un trombinoscope.</i>|dossier-1 les-informations-personnelles dossier-1-leçon-1
un couloir|<b>Meaning</b>: a hallway<br><b>Phrase: </b><i>Le bureau est au bout du couloir.</i>|dossier-1 les-lieux dossier-1-leçon-1
un escalier|<b>Meaning</b>: a staircase<br><b>Phrase: </b><i>Utilisez l'escalier pour monter.</i>|dossier-1 les-lieux dossier-1-leçon-1
une cafétéria|<b>Meaning</b>: a cafeteria<br><b>Phrase: </b><i>On mange à la cafétéria.</i>|dossier-1 les-lieux dossier-1-leçon-1
une université|<b>Meaning</b>: a university<br><b>Phrase: </b><i>J'étudie à l'université.</i>|dossier-1 les-lieux dossier-1-leçon-1
l'après-midi (m. et f.)|<b>Meaning</b>: the afternoon<br><b>Phrase: </b><i>Je travaille l'après-midi.</i>|dossier-1 les-moments dossier-1-leçon-1
le jour ≠ la nuit|<b>Meaning</b>: the day ≠ the night<br><b>Phrase: </b><i>Il fait jour. / Il fait nuit.</i>|dossier-1 les-moments dossier-1-leçon-1
le matin|<b>Meaning</b>: the morning<br><b>Phrase: </b><i>Je me lève le matin.</i>|dossier-1 les-moments dossier-1-leçon-1
le soir|<b>Meaning</b>: the evening<br><b>Phrase: </b><i>Je dîne le soir.</i>|dossier-1 les-moments dossier-1-leçon-1
des jeunes gens (m.)|<b>Meaning</b>: young people<br><b>Phrase: </b><i>Ce sont des jeunes gens.</i>|dossier-1 les-personnes dossier-1-leçon-1
madame|<b>Meaning</b>: madam/ma'am<br><b>Phrase: </b><i>Bonjour, madame.</i>|dossier-1 les-personnes dossier-1-leçon-1
mademoiselle|<b>Meaning</b>: miss/young lady<br><b>Phrase: </b><i>Comment allez-vous, mademoiselle?</i>|dossier-1 les-personnes dossier-1-leçon-1
monsieur|<b>Meaning</b>: mister/sir<br><b>Phrase: </b><i>Au revoir, monsieur.</i>|dossier-1 les-personnes dossier-1-leçon-1
un garçon|<b>Meaning</b>: a boy<br><b>Phrase: </b><i>Il est un garçon.</i>|dossier-1 les-personnes dossier-1-leçon-1
un jeune homme|<b>Meaning</b>: a young man<br><b>Phrase: </b><i>C'est un jeune homme.</i>|dossier-1 les-personnes dossier-1-leçon-1
un monsieur|<b>Meaning</b>: a gentleman/sir<br><b>Phrase: </b><i>Bonjour, monsieur.</i>|dossier-1 les-personnes dossier-1-leçon-1
une dame|<b>Meaning</b>: a lady<br><b>Phrase: </b><i>C'est une dame.</i>|dossier-1 les-personnes dossier-1-leçon-1
une fille|<b>Meaning</b>: a girl<br><b>Phrase: </b><i>Elle est une fille.</i>|dossier-1 les-personnes dossier-1-leçon-1
une jeune femme|<b>Meaning</b>: a young woman<br><b>Phrase: </b><i>Elle est une jeune femme.</i>|dossier-1 les-personnes dossier-1-leçon-1
une jeune fille|<b>Meaning</b>: a young girl<br><b>Phrase: </b><i>Voici une jeune fille.</i>|dossier-1 les-personnes dossier-1-leçon-1
une relation formelle (professionnelle)|<b>Meaning</b>: a formal (professional) relationship<br><b>Phrase: </b><i>C'est une relation formelle.</i>|dossier-1 les-personnes dossier-1-leçon-1
une relation informelle (amicale)|<b>Meaning</b>: an informal (friendly) relationship<br><b>Phrase: </b><i>Ils ont une relation informelle.</i>|dossier-1 les-personnes dossier-1-leçon-1
demander une information|<b>Meaning</b>: to ask for information<br><b>Phrase: </b><i>Je voudrais demander une information.</i>|dossier-1 communiquer dossier-1-leçon-2
poser des questions|<b>Meaning</b>: to ask questions<br><b>Phrase: </b><i>Je vais poser des questions.</i>|dossier-1 communiquer dossier-1-leçon-2
répondre|<b>Meaning</b>: to answer<br><b>Phrase: </b><i>Je vais répondre.</i>|dossier-1 communiquer dossier-1-leçon-2
c'est gratuit|<b>Meaning</b>: it's free<br><b>Phrase: </b><i>C'est gratuit.</i>|dossier-1 demander/dire-le-prix dossier-1-leçon-2
ça coûte ... euros|<b>Meaning</b>: it costs ... euros<br><b>Phrase: </b><i>Ça coûte 10 euros.</i>|dossier-1 demander/dire-le-prix dossier-1-leçon-2
combien|<b>Meaning</b>: how much<br><b>Phrase: </b><i>Combien coûte ce livre?</i>|dossier-1 demander/dire-le-prix dossier-1-leçon-2
compléter un formulaire|<b>Meaning</b>: to fill out a form<br><b>Phrase: </b><i>Complétez le formulaire.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
présenter une pièce d'identité|<b>Meaning</b>: to present an ID<br><b>Phrase: </b><i>Présentez une pièce d'identité.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
un passeport|<b>Meaning</b>: a passport<br><b>Phrase: </b><i>J'ai besoin de mon passeport.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
une carte d'étudiant|<b>Meaning</b>: a student card<br><b>Phrase: </b><i>Voici ma carte d'étudiant.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
une carte d'identité|<b>Meaning</b>: an identity card<br><b>Phrase: </b><i>Montrez votre carte d'identité.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
une photo|<b>Meaning</b>: a photo<br><b>Phrase: </b><i>Voici une photo.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
l'adresse (f.)|<b>Meaning</b>: the address<br><b>Phrase: </b><i>J'habite...</i>|dossier-1 les-informations-personnelles dossier-1-leçon-2
l'anniversaire (m.)|<b>Meaning</b>: the birthday<br><b>Phrase: </b><i>C'est mon anniversaire.</i>|dossier-1 les-informations-personnelles dossier-1-leçon-2
la carte de visite|<b>Meaning</b>: the business card<br><b>Phrase: </b><i>Voici ma carte de visite.</i>|dossier-1 les-informations-personnelles dossier-1-leçon-2
la date de naissance|<b>Meaning</b>: the date of birth<br><b>Phrase: </b><i>Quelle est votre date de naissance?</i>|dossier-1 les-informations-personnelles dossier-1-leçon-2
le numéro de téléphone|<b>Meaning</b>: the phone number<br><b>Phrase: </b><i>Quel est votre numéro de téléphone?</i>|dossier-1 les-informations-personnelles dossier-1-leçon-2
les coordonnées (f.)|<b>Meaning</b>: the contact details<br><b>Phrase: </b><i>Voici mes coordonnées.</i>|dossier-1 les-informations-personnelles dossier-1-leçon-2
un bureau|<b>Meaning</b>: an office<br><b>Phrase: </b><i>Je travaille dans un bureau.</i>|dossier-1 les-lieux dossier-1-leçon-2
un magasin|<b>Meaning</b>: a store<br><b>Phrase: </b><i>Je vais au magasin.</i>|dossier-1 les-lieux dossier-1-leçon-2
une médiathèque|<b>Meaning</b>: a media library<br><b>Phrase: </b><i>J'étudie à la médiathèque.</i>|dossier-1 les-lieux dossier-1-leçon-2
l'année (f.)|<b>Meaning</b>: the year<br><b>Phrase: </b><i>C'est une nouvelle année.</i>|dossier-1 les-moments dossier-1-leçon-2
les mois (m.)|{'août': '<b>Meaning</b>: August<br><b>Phrase: </b><i>Août est le huitième mois.</i>', 'avril': '<b>Meaning</b>: April<br><b>Phrase: </b><i>Avril vient après mars.</i>', 'décembre': "<b>Meaning</b>: December<br><b>Phrase: </b><i>Décembre est le dernier mois de l'année.</i>", 'février': '<b>Meaning</b>: February<br><b>Phrase: </b><i>Février est le deuxième mois.</i>', 'janvier': "<b>Meaning</b>: January<br><b>Phrase: </b><i>Janvier est le premier mois de l'année.</i>", 'juillet': '<b>Meaning</b>: July<br><b>Phrase: </b><i>Juillet est en été.</i>', 'juin': '<b>Meaning</b>: June<br><b>Phrase: </b><i>Juin est le sixième mois.</i>', 'mai': '<b>Meaning</b>: May<br><b>Phrase: </b><i>Mai est au printemps.</i>', 'mars': '<b>Meaning</b>: March<br><b>Phrase: </b><i>Mars est le troisième mois.</i>', 'novembre': '<b>Meaning</b>: November<br><b>Phrase: </b><i>Novembre est le onzième mois.</i>', 'octobre': '<b>Meaning</b>: October<br><b>Phrase: </b><i>Octobre est en automne.</i>', 'septembre': '<b>Meaning</b>: September<br><b>Phrase: </b><i>Septembre est le neuvième mois.</i>'}|dossier-1 les-moments dossier-1-leçon-2
un(e) employé(e)|<b>Meaning</b>: an employee<br><b>Phrase: </b><i>Il est un employé. / Elle est une employée.</i>|dossier-1 les-personnes dossier-1-leçon-2
un(e) étudiant(e)|<b>Meaning</b>: a student<br><b>Phrase: </b><i>Il est un étudiant. / Elle est une étudiante.</i>|dossier-1 les-personnes dossier-1-leçon-2
